,BNC-Spoken,OpenSubtitles,SubIMDB,SUBTLEX,SUBTLEX-UK,GINI,Wikipedia,wordfreq,TUBELEX\textsubscript{default},TUBELEX\textsubscript{regex},TUBELEX\textsubscript{lemma}
BNC-Spoken,0.0,0.36465299827070446,0.2581050862423255,0.2876454794130299,0.23283090342294363,,0.4553581006893518,0.3194424762440795,0.2389891750736472,0.264919271494756,0.33968003567628574
OpenSubtitles,0.36465299827070446,0.0,0.13538919860682197,0.14812095375990392,0.23603852795471877,,0.4727524313335103,0.29463953700315326,0.2502987136197091,0.25233508972213875,0.3382126484407118
SubIMDB,0.2581050862423255,0.13538919860682197,0.0,0.17909692555416862,0.2400241774835747,,0.48683119042673184,0.3132630646202597,0.24700129219471692,0.27511339919607986,0.3374973594080969
SUBTLEX,0.2876454794130299,0.14812095375990392,0.17909692555416862,0.0,0.22984884245312312,,0.4809022950016514,0.31577257775021433,0.2814143549920465,0.2369974177921596,0.3517320195858927
SUBTLEX-UK,0.23283090342294363,0.23603852795471877,0.2400241774835747,0.22984884245312312,0.0,,0.39140312680589423,0.22895429654683552,0.20803077501820472,0.19165818743306137,0.31410124392779487
GINI,,,,,,0.0,,,,,
Wikipedia,0.4553581006893518,0.4727524313335103,0.48683119042673184,0.4809022950016514,0.39140312680589423,,0.0,0.2753270451904964,0.3893400560706706,0.3868860388602724,0.4552768311047661
wordfreq,0.3194424762440795,0.29463953700315326,0.3132630646202597,0.31577257775021433,0.22895429654683552,,0.2753270451904964,0.0,0.21057972551112,0.21219037730210208,0.31255172005705617
TUBELEX\textsubscript{default},0.2389891750736472,0.2502987136197091,0.24700129219471692,0.2814143549920465,0.20803077501820472,,0.3893400560706706,0.21057972551112,0.0,0.12186715038577894,0.2480592959331395
TUBELEX\textsubscript{regex},0.264919271494756,0.25233508972213875,0.27511339919607986,0.2369974177921596,0.19165818743306137,,0.3868860388602724,0.21219037730210208,0.12186715038577894,0.0,0.26586348357247336
TUBELEX\textsubscript{lemma},0.33968003567628574,0.3382126484407118,0.3374973594080969,0.3517320195858927,0.31410124392779487,,0.4552768311047661,0.31255172005705617,0.2480592959331395,0.26586348357247336,0.0
