,BNC-Spoken,OpenSubtitles,SubIMDB,SUBTLEX,SUBTLEX-UK,Wikipedia,wordfreq,TUBELEX\textsubscript{default},TUBELEX\textsubscript{regex},TUBELEX\textsubscript{lemma}
BNC-Spoken,0.0,0.39389789389279367,0.2755054767399233,0.32504599730281086,0.2655829237290082,0.4783527403034824,0.3478970453309228,0.25135740956973485,0.30257342493288286,0.37268856277506734
OpenSubtitles,0.39389789389279367,0.0,0.32329705098730865,0.35210464076385184,0.3892189339562246,0.5438481895269054,0.4225926355481667,0.3744811742290522,0.39436979301174024,0.44582783480571064
SubIMDB,0.2755054767399233,0.32329705098730865,0.0,0.25151815371729486,0.2813084974950945,0.5106704605232861,0.35617938453201337,0.26141332951583546,0.3186837419336237,0.37233654215065654
SUBTLEX,0.32504599730281086,0.35210464076385184,0.25151815371729486,0.0,0.2503731930142378,0.4972334780701383,0.345561717387251,0.30809058607229917,0.24949054629888964,0.37114770125479174
SUBTLEX-UK,0.2655829237290082,0.3892189339562246,0.2813084974950945,0.2503731930142378,0.0,0.4075142433239295,0.2628245932089366,0.23764578790332153,0.20842229603649462,0.34402982295060386
Wikipedia,0.4783527403034824,0.5438481895269054,0.5106704605232861,0.4972334780701383,0.4075142433239295,0.0,0.30285780667098683,0.4092837113702001,0.39518793116694145,0.48278614160219463
wordfreq,0.3478970453309228,0.4225926355481667,0.35617938453201337,0.345561717387251,0.2628245932089366,0.30285780667098683,0.0,0.24895481287593088,0.2414700322226907,0.35358270759474303
TUBELEX\textsubscript{default},0.25135740956973485,0.3744811742290522,0.26141332951583546,0.30809058607229917,0.23764578790332153,0.4092837113702001,0.24895481287593088,0.0,0.16296708873997418,0.2842101966768601
TUBELEX\textsubscript{regex},0.30257342493288286,0.39436979301174024,0.3186837419336237,0.24949054629888964,0.20842229603649462,0.39518793116694145,0.2414700322226907,0.16296708873997418,0.0,0.2924406523618957
TUBELEX\textsubscript{lemma},0.37268856277506734,0.44582783480571064,0.37233654215065654,0.37114770125479174,0.34402982295060386,0.48278614160219463,0.35358270759474303,0.2842101966768601,0.2924406523618957,0.0
