	Chinese	English	Indonesian	Japanese	Spanish
BNC-Spoken		0.9055814626024344			
CREA-Spoken					0.8385
CSJ				0.6836	
HKUST/MTS	0.644796197116276				
ACTIV-ES					0.777
EsPal					0.6659
LaboroTV1+2				0.7095	
OpenSubtitles	0.6949	0.9258	0.8493	0.4534	0.8264
SubIMDB		0.9113			
SUBTLEX	0.7595	0.914			0.7997
SUBTLEX-UK		0.9279			
GINI		0.8012		0.6904	
Wikipedia	0.702	0.8957	0.8183	0.8503	0.832
Wikipedia_R			0.822		
wordfreq	0.4664	0.9736	0.8585	0.7446	0.9357
TUBELEX\textsubscript{default}	1.0	1.0	1.0	1.0	1.0
TUBELEX\textsubscript{regex}		0.9996	0.9887		0.9977
TUBELEX\textsubscript{base}				0.9561	
TUBELEX\textsubscript{lemma}		0.9786	0.8674	0.8186	0.965
TUBELEX_entertainment	0.8666	0.9712	0.9552	0.9598	0.9708
TUBELEX_entertainment_L		0.9507	0.8259	0.7933	0.9373
TUBELEX_entertainment_B				0.911	
TUBELEX_entertainment_R		0.971	0.9445		0.9684
TUBELEX_comedy	0.3969	0.8996	0.6278	0.812	0.8252
TUBELEX_comedy_L		0.8845	0.5797	0.7094	0.8081
TUBELEX_comedy_B				0.7801	
TUBELEX_comedy_R		0.8996	0.6074		0.8248
