,tokens,coverage
BNC-Spoken:en,10365473.0,0.7190401258851298
CREA-Spoken:es,3171903.0,0.39530869661429524
CSJ:ja,7479773.0,
HKUST/MTS:zh,1342379.0,0.5139153944020356
ACTIV-ES:es,3897234.0,0.369418012834698
EsPal:es,462611693.0,0.7687762779375968
LaboroTV1+2:ja,99367439.0,
OpenSubtitles:zh,191379324.0,0.9958651399491094
OpenSubtitles:en,3235391790.0,0.9881720430107527
OpenSubtitles:id,137231876.0,
OpenSubtitles:es,1512443143.0,0.8223722062403187
SubIMDB:en,179967485.0,0.957251507998951
SUBTLEX:zh,33546516.0,1.0
SUBTLEX:en,49719560.0,0.9090217676370312
SUBTLEX:es,40017237.0,0.42965257800398315
SUBTLEX-UK:en,201706753.0,0.9221348019931812
Wikipedia:zh,271230431.0,0.9933206106870229
Wikipedia:en,2489387103.0,0.9939942302648833
Wikipedia:id,117956650.0,
Wikipedia:ja,610467200.0,
Wikipedia:es,685158870.0,0.8619606107545917
TUBELEX\textsubscript{default}:zh,17865686.0,0.9703403307888041
TUBELEX\textsubscript{default}:en,170750870.0,0.9691843692630475
TUBELEX\textsubscript{default}:id,34903381.0,
TUBELEX\textsubscript{default}:ja,163439781.0,
TUBELEX\textsubscript{default}:es,169188689.0,0.8063509626023456
TUBELEX\textsubscript{regex}:en,170816384.0,0.9692630474691843
TUBELEX\textsubscript{regex}:id,34293878.0,
TUBELEX\textsubscript{regex}:es,166423254.0,0.8028103562735118
TUBELEX\textsubscript{base}:ja,163439781.0,
TUBELEX\textsubscript{lemma}:en,170764637.0,0.9733543141883032
TUBELEX\textsubscript{lemma}:id,34904605.0,
TUBELEX\textsubscript{lemma}:ja,163462537.0,
TUBELEX\textsubscript{lemma}:es,169188635.0,0.8391236999336136
